Entreprise,PER,ROE,Croissance CA,Dividende,Secteur,PB,beta
Glass To Power B,,,,,,,
Global Bioenergies,,-1.02782,-0.891,,Utilities,3.192157,1.74
Gold By Gold,22.47619,-0.16354,0.774,0.0064,Basic Materials,4.394786,0.014
Gpe Group Pizzorno,19.059406,0.16848,0.052,0.0162,Industrials,3.0232832,0.514
Gpe Parot (Auto),,-0.01476,0.022,,Consumer Cyclical,1.4258065,1.368
Graines Voltz,19.292929,0.02049,-0.009,,Basic Materials,0.3741723,0.887
Grolleau,,,-0.212,,Industrials,0.7726181,0.507
Groupe Berkem,,-0.046490002,0.017,,Basic Materials,1.8096905,1.402
Groupe Carnivor,,,,0.027999999,Financial Services,,
Groupe Crit,9.840764,0.100810006,0.127,0.0162,Industrials,0.93325275,0.828
Groupe Guillin,7.175066,0.12114,-0.045,0.040700004,Consumer Cyclical,0.8306464,0.93
Groupe Jaj,5.0,0.05646,,,Consumer Cyclical,0.4843305,0.979
Groupe Ldlc,,-0.00164,-0.028,0.0428,Technology,0.5620567,1.088
Groupe Okwind,8.925926,0.13326,-0.161,,Utilities,1.1024703,0.291
Groupe Partouche,26.329113,0.03161,0.023,0.0154,Consumer Cyclical,0.5792904,1.026
Groupe Plus-Values,,,,,,,
Groupe Sfpi,37.2,0.01698,-0.042,0.0161,Industrials,0.66381156,1.493
Groupe Tera,,,-0.075,,Technology,4.9079757,
Groupimo,,,,,,,
Gt Biopharma Inc,,,,,,,
Gtt,17.242268,0.8136,0.658,0.0541,Energy,11.797902,0.464
Guandao Puer Inves,,,,,,,
Guerbet,10.426829,0.08139,0.119,0.0197,Healthcare,0.8322518,0.758
Guillemot,16.428572,0.06295,0.164,,Technology,0.9926629,0.589
Haffner Energy,,-0.35204,,,Utilities,1.0889773,0.878
Hamilton Global Op,,-0.055960003,-0.036,,Financial Services,1.3088926,0.3
Haulotte Group,4.578947,0.08512,-0.091,,Industrials,0.37063333,1.178
Hdf,,-0.07534,2.576,,Utilities,0.53660274,0.343
Herige,2.95858,0.15747,-0.263,0.0766,Basic Materials,0.43849647,0.801
Hermes Intl,53.543674,0.31544,0.12,0.0066000004,Consumer Cyclical,15.822323,0.727
Hexaom,5.6428576,0.13317001,-0.245,,Consumer Cyclical,0.72775286,1.261
Hf Company,,-0.04553,-0.382,0.1114,Technology,0.5731676,0.597
High Co,3.7500002,0.14056,0.023,0.0833,Communication Services,0.5127109,0.626
Hipay Group,3.3207548,0.31077,0.105,,Technology,1.0762331,1.162
Hitechpros,12.820514,0.40191,0.016,0.0813,Technology,4.297994,0.65
Hk,171.64178,0.22575001,0.257,0.0005,Industrials,42.974586,0.734
Hoche Bains L.Bain,,,,,,,
Hoffmann,,-0.14174,0.957,,Basic Materials,1.3018869,1.099
Home Concept,,,,,,,
Hopening,10.757575,,,,Communication Services,2.7006466,
Hopium,0.043,,-0.997,,Consumer Cyclical,,-0.233
Hopscotch Groupe,8.457447,0.23511,0.051,0.041100003,Communication Services,1.6376559,1.442
Hot.Majestic Canne,,,0.27,0.075,Consumer Cyclical,,-0.013
Hoteles Bestprice,300.0,,,0.0046,Consumer Cyclical,,
Hotelim,7.229358,,,0.0621,Consumer Cyclical,,
Hotels De Paris,,,0.011,,Consumer Cyclical,,0.529
Hotl.Immob.Nice,35.58719,0.01959,,,Consumer Cyclical,0.83893675,-0.034377
Hunyvers,17.836735,0.33064,,,Consumer Cyclical,1.2622762,
Hydraulique Pb,,0.07019,,,Industrials,0.8377689,0.589381
Hydro-Exploit.,0.8335688,-0.07458,,0.034,Industrials,3.584556,0.444232
Hydrogen Refueling,,-0.18792,-0.377,,Consumer Cyclical,0.8417051,1.563
I.Ceram,,,-0.351,,Healthcare,0.45578232,1.091
I2S,58.666664,0.07754,0.604,0.0159,Industrials,1.2373453,0.117
Iante Investments,,,,,,,
Icade,,-0.16969,-0.002,0.21079999,Real Estate,0.38980767,1.222
Icape Holding,12.499999,0.16464001,-0.084,0.0179,Technology,1.933488,0.487
Id Logistics Group,47.42647,0.12976,0.187,,Industrials,5.3825502,0.784
Idi,,,-0.854,0.0403,Financial Services,0.65632516,0.659
Ids,,,,0.0845,Technology,,-0.290297
Idsud,16.026936,,0.064,,Industrials,10.95134,0.743
Igis Neptune,,,,,,,
Ikonisys,,,1.308,,Healthcare,0.9302325,0.696
Ilbe,,,,,,,
Imalliance,1.7333333,-0.41674998,,,Communication Services,0.36879432,1.246753
Imerys,,,-0.069,0.0481,Basic Materials,0.74906373,1.358
Imm.Paris.Perle,,,,,,,
Immersion,Infinity,-0.00098,-0.172,,Technology,1.0761485,0.721
Immob.Dassault,,-0.03125,0.135,0.0402,Real Estate,0.59566724,0.515
Implanet,,-1.7764599,-0.035,,Healthcare,4.125,1.183
